sample_index,ingress_sequence,kind,control,action,value,active_rate_index,active_holes,scheduler_error,effective_edge_frames,cut
1027000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1032000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,0,192,0
1032000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1035000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1040000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1043000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1048000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1051000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1056000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,0,192,0
1056000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1059000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1064000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1067000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1072000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1075000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1080000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,0,192,0
1080000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1083000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1088000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1091000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1096000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1099000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1104000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,0,192,0
1104000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1107000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1112000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1115000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1120000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1123000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1128000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,0,192,0
1128000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1131000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1136000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1139000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1144000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,1
1147000,0,opportunity,CUT,UNSUPPORTED,3,5,3,0,192,0
1152000,9,accepted_control,CUT,UNSUPPORTED,6,5,3,0,192,0
1152000,0,beat_boundary,TEMPO,UNSUPPORTED,120,5,3,0,192,0
1152000,0,rhythm_commit,CUT,UNSUPPORTED,6,6,3,0,192,0
1152000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1154250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1158000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1160250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1164000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1166250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1170000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1172250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1176000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,0,192,0
1176000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1178250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1182000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1184250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1188000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1190250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
