sample_index,ingress_sequence,kind,control,action,value,active_rate_index,active_holes,scheduler_error,effective_edge_frames,cut
1290000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1296000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,0,192,1
1296000,0,opportunity,CUT,UNSUPPORTED,4,6,3,3,192,0
1302000,0,opportunity,CUT,UNSUPPORTED,4,6,3,6,192,0
1308000,0,opportunity,CUT,UNSUPPORTED,4,6,3,1,192,1
1314000,0,opportunity,CUT,UNSUPPORTED,4,6,3,4,192,0
1320000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,4,192,0
1320000,0,opportunity,CUT,UNSUPPORTED,4,6,3,7,192,0
1326000,0,opportunity,CUT,UNSUPPORTED,4,6,3,2,192,1
1332000,0,opportunity,CUT,UNSUPPORTED,4,6,3,5,192,0
1338000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1344000,11,accepted_control,CUT,UNSUPPORTED,8,6,3,0,192,1
1344000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,0,192,1
1344000,0,rhythm_commit,CUT,UNSUPPORTED,8,8,3,0,192,1
1344000,0,opportunity,CUT,UNSUPPORTED,8,8,3,3,192,0
1347000,0,opportunity,CUT,UNSUPPORTED,8,8,3,6,192,0
1350000,0,opportunity,CUT,UNSUPPORTED,8,8,3,1,192,1
1353000,0,opportunity,CUT,UNSUPPORTED,8,8,3,4,192,0
1356000,0,opportunity,CUT,UNSUPPORTED,8,8,3,7,192,0
1359000,0,opportunity,CUT,UNSUPPORTED,8,8,3,2,192,1
1362000,0,opportunity,CUT,UNSUPPORTED,8,8,3,5,192,0
1365000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1368000,0,beat_boundary,TEMPO,UNSUPPORTED,120,8,3,0,192,1
1368000,0,opportunity,CUT,UNSUPPORTED,8,8,3,3,192,0
1371000,0,opportunity,CUT,UNSUPPORTED,8,8,3,6,192,0
1374000,0,opportunity,CUT,UNSUPPORTED,8,8,3,1,192,1
1377000,0,opportunity,CUT,UNSUPPORTED,8,8,3,4,192,0
1380000,0,opportunity,CUT,UNSUPPORTED,8,8,3,7,192,0
1383000,0,opportunity,CUT,UNSUPPORTED,8,8,3,2,192,1
1386000,0,opportunity,CUT,UNSUPPORTED,8,8,3,5,192,0
1389000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1392000,0,beat_boundary,TEMPO,UNSUPPORTED,120,8,3,0,192,1
1392000,0,opportunity,CUT,UNSUPPORTED,8,8,3,3,192,0
1395000,0,opportunity,CUT,UNSUPPORTED,8,8,3,6,192,0
1398000,0,opportunity,CUT,UNSUPPORTED,8,8,3,1,192,1
1401000,0,opportunity,CUT,UNSUPPORTED,8,8,3,4,192,0
1404000,0,opportunity,CUT,UNSUPPORTED,8,8,3,7,192,0
1407000,0,opportunity,CUT,UNSUPPORTED,8,8,3,2,192,1
1410000,0,opportunity,CUT,UNSUPPORTED,8,8,3,5,192,0
1413000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1416000,0,beat_boundary,TEMPO,UNSUPPORTED,120,8,3,0,192,1
1416000,0,opportunity,CUT,UNSUPPORTED,8,8,3,3,192,0
1419000,0,opportunity,CUT,UNSUPPORTED,8,8,3,6,192,0
1422000,0,opportunity,CUT,UNSUPPORTED,8,8,3,1,192,1
1425000,0,opportunity,CUT,UNSUPPORTED,8,8,3,4,192,0
1428000,0,opportunity,CUT,UNSUPPORTED,8,8,3,7,192,0
1431000,0,opportunity,CUT,UNSUPPORTED,8,8,3,2,192,1
1434000,0,opportunity,CUT,UNSUPPORTED,8,8,3,5,192,0
1437000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1440000,0,beat_boundary,TEMPO,UNSUPPORTED,120,8,3,0,192,1
1440000,0,opportunity,CUT,UNSUPPORTED,8,8,3,3,192,0
